fips,risk,time,level,cases,deaths,population,density,predict,positive,negative
1,0.009690517,2020/5/2,Medium,7611,288,4864630,139.0109034,360077.121,0,0.086956522
2,0.001732869,2020/5/2,low,363,7,737979,88.19243697,43571.49078,0,0.166666667
3,null,null,null,null,null,null,null,null,null,null
4,0.010896653,2020/5/2,Medium,8364,353,6949259,447.9671605,110103.2275,0.047619048,0.133227597
5,0.00572255,2020/5/2,Medium,3372,72,2990472,80.36023689,251820.1714,0.071428571,0.153424658
6,0.058659442,2020/5/2,High,53753,2213,39140219,1257.655082,892315.3098,0.074712644,0.1738727
7,null,null,null,null,null,null,null,null,null,null
8,0.019269439,2020/5/2,Medium,16118,830,5531233,377.4718095,647538.6072,0.052631579,0.129503408
9,0.027396304,2020/5/2,Medium,29287,2436,3581504,621.2638298,214607.0284,0.117647059,0.265625
10,0.007071098,2020/5/2,Medium,5038,168,949495,686.3014925,104811.798,0,0
11,null,null,null,null,null,null,null,null,null,null
12,0.040667658,2020/5/2,High,35455,1363,20596370,755.8573754,1109705.138,0.07755102,0.181353698
13,0.026066658,2020/5/2,Medium,27268,1161,10297534,337.2365986,744531.3916,0.114285714,0.08049678
14,null,null,null,null,null,null,null,null,null,null
15,0.005165209,2020/5/2,Medium,611,16,1422019,597.5478723,124787.1134,0,0
16,0.003639939,2020/5/2,Medium,1908,64,1687214,129.7137184,137633.0796,0.1,0.10989011
17,0.038007214,2020/5/2,High,58505,2576,12821487,537.3190889,218218.1082,0.066666667,0.178359096
18,0.017345403,2020/5/2,Medium,19295,1115,6637220,256.0216774,210318.4178,0.1,0.221606648
19,0.008645122,2020/5/2,Medium,8641,175,3133061,88.3891863,359726.1285,0,0.153846154
20,0.004508444,2020/5/2,Medium,4838,140,2908448,108.4895265,146166.6469,0.166666667,0
21,0.007405294,2020/5/2,Medium,4881,252,4446667,160.325163,193367.1513,0.071428571,0.12797075
22,0.024118033,2020/5/2,Medium,29140,1950,4663243,255.3650485,394622.2079,0.12,0.13562387
23,0.002505607,2020/5/2,low,1152,56,1332721,76.70069444,84033.45798,0,0.125
24,0.023013249,2020/5/2,Medium,24473,1156,6003435,621.2262821,499070.1341,0.056603774,0.119864305
25,0.046743522,2020/5/2,High,66263,3846,6830133,1156.315829,197588.3989,0.0625,0.133148405
26,0.038448495,2020/5/2,High,43191,4020,9957465,310.5672414,184414.5762,0.071428571,0.153677278
27,0.00969689,2020/5/2,Medium,6228,395,5527473,220.0253394,203098.1169,0,0.173076923
28,0.005922935,2020/5/2,Medium,7441,291,2988710,141.2858156,71094.61733,0.083333333,0.090225564
29,0.009660666,2020/5/2,Medium,8154,373,6090358,177.3168297,171541.2283,0.096153846,0.169865251
30,0.001662255,2020/5/2,low,455,16,1042359,21.40941828,110745.2793,0.214285714,0.089171975
31,0.00455153,2020/5/2,Medium,5333,76,1904901,115.9017212,56494.65085,0.058823529,0.249084249
32,0.011486641,2020/5/2,Medium,5390,257,2923171,587.44,279190.1229,0.133333333,0.304568528
33,0.003993739,2020/5/2,Medium,2429,84,1343673,120.2092742,163346.3804,0.058823529,0.124542125
34,0.085664389,2020/5/2,High,123717,7742,8881845,1409.106387,532502.682,0.092783505,0.227033353
35,0.005146597,2020/5/2,Medium,3732,139,2089570,87.68532609,205018.7086,0.060606061,0.128780488
36,0.194487555,2020/5/2,Extrem high,313008,18909,19618323,2080.048718,649030.0716,0.101123596,0.19974751
37,0.014821681,2020/5/2,Medium,11514,428,10155624,185.5691832,395392.4979,0.053763441,0.158993772
38,0.002425763,2020/5/2,low,1153,24,751250,62.46501305,50611.85602,0,0.25
39,0.020447181,2020/5/2,Medium,19335,1021,11639989,380.9167364,326839.4954,0.094339623,0.104064402
40,0.006730464,2020/5/2,Medium,3851,238,3918473,129.749537,187135.4885,0.035714286,0.147952444
41,0.009278839,2020/5/2,Medium,2635,109,4081732,275.8930456,436783.939,0.034482759,0.142769231
42,0.042375565,2020/5/2,High,51071,2794,12790950,515.721727,705023.2531,0.060344828,0.220061655
43,null,null,null,null,null,null,null,null,null,null
44,0.0115215,2020/5/2,Medium,9289,296,1056611,1098.331169,123003.6767,0,0
45,0.011080608,2020/5/2,Medium,6489,267,4955925,363.2790094,322450.0096,0.046511628,0.19490085
46,0.001470293,2020/5/2,low,2588,21,864012,34.96307278,104993.2375,0.666666667,0
47,0.010901408,2020/5/2,Medium,12445,219,6644470,229.9100318,252621.5788,0.075949367,0.109475143
48,0.054595746,2020/5/2,High,31430,875,27884135,399.065478,2734941.61,0.087542088,0.165998038
49,0.008055666,2020/5/2,Medium,4981,49,3043806,254.8034843,371243.8396,0.272727273,0.120879121
50,0.002079626,2020/5/2,low,886,51,624977,100.2615686,67957.76535,0,0.125
51,0.01678759,2020/5/2,Medium,17731,616,8414042,363.5436384,320527.7689,0.121621622,0.168914713
52,null,null,null,null,null,null,null,null,null,null
53,0.015423982,2020/5/2,Medium,15253,833,7280023,504.9677852,70081.90066,0.076923077,0.208110993
54,0.001503207,2020/5/2,low,1184,50,1828786,81.6786119,37160.96017,0,0
55,0.009854853,2020/5/2,Medium,7660,334,5777892,240.2028497,230159.2369,0.036363636,0.113129928
56,0.001655626,2020/5/2,low,429,7,582091,90.85898876,45312.38723,0.142857143,0.162790698
